Acc_allCommonNeighborOf2NodesFromOptions_NL,,,, :: Acc_howManyNodesAreWithin2LinkReach_NL,,,, :: Acc_rememberNodesUsedInCommonNeighbor_NL,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
cayenne,crab,lentil,tangerine,vegetable :: 30,22,11,27,12 :: scallion;;sesame_oil,shrimp;;lovage,cumin;;kale,citrus_peel;;liver,raw_beef;;lentil
cayenne,caviar,lentil,tangerine,lettuce :: 25,20,09,35,15 :: garlic;;lime_juice,chive;;wasabi,cumin;;barley,citrus;;lemongrass,cucumber;;tuna
cayenne,crab,lentil,tangerine,lettuce :: 25,19,10,36,13 :: onion;;lime_juice,clam;;bay,coriander;;barley,citrus_peel;;lemongrass,chicory;;cucumber
cayenne,crab,lentil,tangerine,lettuce :: 25,17,10,28,15 :: lime_juice;;cilantro,lovage;;clam,carrot;;vegetable,kiwi;;citrus_peel,raw_beef;;turkey
basil,crab,lentil,tangerine,vegetable :: 19,2,1,3,2 :: oregano;;moazzarella,clam;;tamarind,chickpea;;vegetable,black_tea;;kiwi,carrot;;sesame_oil
cayenne,crab,lentil,tangerine,lettuce :: 26,17,10,34,16 :: lime_juice;;cilantro,lovage;;clam,cumin;;kale,kiwi;;citrus_peel,cucumber;;mandarin
cayenne,crab,lentil,tangerine,lettuce :: 24,8,10,22,15 :: cumin;;corn,lovage;;clam,cumin;;cabernet,liver;;black_tea,mandarin;;radish
cayenne,wine,lentil,tangerine,lettuce :: 17,16,10,35,15 :: scallion;;cumin,soy_sauce;;shallot,vegetable;;cumin,kiwi;;lemongrass,turkey;;mandarin
cayenne,crab,lentil,tangerine,lettuce :: 16,18,10,25,15 :: cilantro;;lime_juice,wasabi;;lovage,kale;;coriander,citrus_peel;;kiwi,olive;;feta_cheese
cayenne,crab,lentil,mango,lettuce :: 3,2,2,4,2 :: garlic;;scallion,shrimp;;clam,chickpea;;cabernet,lime_juice;;cashew,raw_beef;;mandarin
cayenne,crab,lentil,tangerine,vegetable :: 28,17,11,26,15 :: onion;;scallion,shrimp;;lovage,coriander;;carrot,citrus_peel;;fig,scallion;;carrot
cayenne,caviar,lentil,tangerine,lettuce :: 22,19,10,25,13 :: lime_juice;;cilantro,chive;;wasabi,barley;;cabernet,citrus_peel;;liver,turkey;;mandarin
cayenne,caviar,lentil,tangerine,lettuce :: 1,32,9,35,15 :: lime_juice,crab;;scallop,cumin;;chickpea,nectarine;;papaya,tuna;;chicory
cayenne,caviar,lentil,tangerine,lettuce :: 5,3,1,5,2 :: onion;;corn;;tomato;;bell_pepper;;scallion;;lime_juice;;cilantro;;cumin,chive;;wasabi;;scallop,vegetable;;chickpea;;coriander;;barley;;cumin;;cabernet;;bay;;kale;;carrot,kiwi;;citrus_peel;;mace;;black_tea;;fig;;palm;;chayote;;papaya;;lemongrass;;liver,raw_beef;;cucumber;;olive;;turkey;;chicory;;tuna;;avocado;;mandarin
