Acc_neighbor_two_step_matrixShortSameQn,Acc_neighbor_two_step_matrixShortRephrasedQn
8.166666666666666,7.0
3.5,7.666666666666667
7.166666666666667,5.166666666666667
5.166666666666667,3.5
4.833333333333333,5.333333333333333
3.8333333333333335,5.5
5.5,6.833333333333333
5.0,6.666666666666667
7.833333333333333,4.666666666666667
7.666666666666667,5.5
7.5,4.666666666666667
5.833333333333333,6.166666666666667
2.6666666666666665,9.833333333333334
4.666666666666667,8.833333333333334
6.0,4.0
6.166666666666667,5.0
7.333333333333333,5.666666666666667
5.833333333333333,6.166666666666667
7.333333333333333,6.5
5.166666666666667,6.333333333333333
5.5,5.333333333333333
7.833333333333333,7.0
6.0,6.833333333333333
6.333333333333333,5.0
6.5,6.5
7.333333333333333,5.166666666666667
5.333333333333333,5.5
5.0,5.0
5.166666666666667,5.666666666666667
6.0,5.0
4.0,10.0
6.833333333333333,6.0
5.833333333333333,4.166666666666667
6.0,7.166666666666667
6.0,6.666666666666667
4.666666666666667,8.833333333333334
3.5,5.666666666666667
5.666666666666667,5.833333333333333
7.166666666666667,5.5
5.833333333333333,5.166666666666667
4.666666666666667,6.666666666666667
6.5,4.333333333333333
5.5,9.5
5.833333333333333,6.166666666666667
5.333333333333333,5.5
6.666666666666667,6.833333333333333
8.5,8.0
8.333333333333334,5.833333333333333
4.333333333333333,6.0
4.166666666666667,9.833333333333334
4.833333333333333,7.5
8.166666666666666,5.666666666666667
5.833333333333333,4.166666666666667
6.333333333333333,4.333333333333333
7.0,5.333333333333333
5.833333333333333,3.8333333333333335
6.833333333333333,3.6666666666666665
9.333333333333334,6.833333333333333
7.166666666666667,6.833333333333333
5.333333333333333,8.5
7.5,3.8333333333333335
7.0,9.5
6.5,6.0
6.333333333333333,4.166666666666667


Time_neighbor_count_matrixShortSameQn,Time_neighbor_count_matrixShortRephrasedQn
3.0,5.833333333333333
10.0,5.166666666666667
5.166666666666667,6.333333333333333
4.666666666666667,6.5
6.833333333333333,3.8333333333333335
2.5,7.166666666666667
8.666666666666666,7.0
4.833333333333333,6.166666666666667
6.166666666666667,3.8333333333333335
6.5,4.0
5.166666666666667,4.333333333333333
4.833333333333333,3.3333333333333335
6.666666666666667,6.0
4.333333333333333,7.333333333333333
4.666666666666667,4.166666666666667
7.5,5.0
10.0,4.833333333333333
6.0,4.5
3.8333333333333335,5.666666666666667
4.666666666666667,5.333333333333333
5.333333333333333,3.1666666666666665
4.833333333333333,2.8333333333333335
5.833333333333333,5.333333333333333
5.0,7.5
5.666666666666667,6.333333333333333
4.333333333333333,9.0
3.6666666666666665,3.5
6.833333333333333,4.333333333333333
5.333333333333333,5.5
5.5,4.166666666666667
4.5,4.0
6.0,5.666666666666667
5.0,5.166666666666667
4.666666666666667,3.3333333333333335
4.0,4.833333333333333
4.666666666666667,5.166666666666667
4.833333333333333,8.666666666666666
5.5,4.833333333333333
4.166666666666667,4.333333333333333
3.5,6.833333333333333
5.166666666666667,5.666666666666667
2.8333333333333335,8.5
3.8333333333333335,5.0
4.5,4.0
5.0,4.833333333333333
3.5,4.833333333333333
4.0,3.0
5.666666666666667,3.6666666666666665
4.5,8.5
6.666666666666667,3.8333333333333335
3.5,4.333333333333333
6.0,4.166666666666667
6.666666666666667,6.166666666666667
8.333333333333334,4.333333333333333
2.8333333333333335,6.0
3.8333333333333335,10.0
5.5,6.0
8.833333333333334,6.333333333333333
6.0,4.166666666666667
6.5,6.166666666666667
6.166666666666667,3.1666666666666665
4.166666666666667,5.0
6.166666666666667,4.333333333333333
10.0,5.0
5.5,5.666666666666667
5.0,7.5
5.333333333333333,5.333333333333333
7.166666666666667,8.666666666666666
6.166666666666667,6.333333333333333
5.333333333333333,5.0


